municipality_code,municipality_name,variable_code,variable_name,period,value_raw,source,value
2402303,Caraúbas - RN,37,Produto Interno Bruto a preços correntes,2021,373656.696,municipal_gdp,373656.696
2402402,Carnaúba dos Dantas - RN,37,Produto Interno Bruto a preços correntes,2021,118371.830,municipal_gdp,118371.83
2402501,Carnaubais - RN,37,Produto Interno Bruto a preços correntes,2021,210948.098,municipal_gdp,210948.098
2402600,Ceará-Mirim - RN,37,Produto Interno Bruto a preços correntes,2021,1002193.003,municipal_gdp,1002193.003
2402709,Cerro Corá - RN,37,Produto Interno Bruto a preços correntes,2021,140410.065,municipal_gdp,140410.065
2402808,Coronel Ezequiel - RN,37,Produto Interno Bruto a preços correntes,2021,52505.974,municipal_gdp,52505.974
2402907,Coronel João Pessoa - RN,37,Produto Interno Bruto a preços correntes,2021,48166.228,municipal_gdp,48166.228
2403004,Cruzeta - RN,37,Produto Interno Bruto a preços correntes,2021,123140.711,municipal_gdp,123140.711
2403103,Currais Novos - RN,37,Produto Interno Bruto a preços correntes,2021,804224.220,municipal_gdp,804224.22
2403202,Doutor Severiano - RN,37,Produto Interno Bruto a preços correntes,2021,78554.809,municipal_gdp,78554.809
2403251,Parnamirim - RN,37,Produto Interno Bruto a preços correntes,2021,6845358.456,municipal_gdp,6845358.456
2403301,Encanto - RN,37,Produto Interno Bruto a preços correntes,2021,62291.545,municipal_gdp,62291.545
2403400,Equador - RN,37,Produto Interno Bruto a preços correntes,2021,81975.601,municipal_gdp,81975.601
2403509,Espírito Santo - RN,37,Produto Interno Bruto a preços correntes,2021,97584.237,municipal_gdp,97584.237
2403608,Extremoz - RN,37,Produto Interno Bruto a preços correntes,2021,570417.878,municipal_gdp,570417.878
2403707,Felipe Guerra - RN,37,Produto Interno Bruto a preços correntes,2021,173824.854,municipal_gdp,173824.854
2403756,Fernando Pedroza - RN,37,Produto Interno Bruto a preços correntes,2021,39068.822,municipal_gdp,39068.822
2403806,Florânia - RN,37,Produto Interno Bruto a preços correntes,2021,120491.664,municipal_gdp,120491.664
2403905,Francisco Dantas - RN,37,Produto Interno Bruto a preços correntes,2021,32757.665,municipal_gdp,32757.665
2404002,Frutuoso Gomes - RN,37,Produto Interno Bruto a preços correntes,2021,44911.035,municipal_gdp,44911.035
2404101,Galinhos - RN,37,Produto Interno Bruto a preços correntes,2021,162615.844,municipal_gdp,162615.844
2404200,Goianinha - RN,37,Produto Interno Bruto a preços correntes,2021,546569.827,municipal_gdp,546569.827
2404309,Governador Dix-Sept Rosado - RN,37,Produto Interno Bruto a preços correntes,2021,386258.856,municipal_gdp,386258.856
2404408,Grossos - RN,37,Produto Interno Bruto a preços correntes,2021,158307.973,municipal_gdp,158307.973
2404507,Guamaré - RN,37,Produto Interno Bruto a preços correntes,2021,2042132.536,municipal_gdp,2042132.536
2404606,Ielmo Marinho - RN,37,Produto Interno Bruto a preços correntes,2021,140718.395,municipal_gdp,140718.395
2404705,Ipanguaçu - RN,37,Produto Interno Bruto a preços correntes,2021,196498.337,municipal_gdp,196498.337
2404804,Ipueira - RN,37,Produto Interno Bruto a preços correntes,2021,34928.891,municipal_gdp,34928.891
2404853,Itajá - RN,37,Produto Interno Bruto a preços correntes,2021,99443.547,municipal_gdp,99443.547
2404903,Itaú - RN,37,Produto Interno Bruto a preços correntes,2021,73781.100,municipal_gdp,73781.1
2405009,Jaçanã - RN,37,Produto Interno Bruto a preços correntes,2021,86388.866,municipal_gdp,86388.866
2405108,Jandaíra - RN,37,Produto Interno Bruto a preços correntes,2021,101428.753,municipal_gdp,101428.753
2405207,Janduís - RN,37,Produto Interno Bruto a preços correntes,2021,84497.183,municipal_gdp,84497.183
2405306,Januário Cicco - RN,37,Produto Interno Bruto a preços correntes,2021,84898.647,municipal_gdp,84898.647
2405405,Japi - RN,37,Produto Interno Bruto a preços correntes,2021,51546.731,municipal_gdp,51546.731
2405504,Jardim de Angicos - RN,37,Produto Interno Bruto a preços correntes,2021,64390.780,municipal_gdp,64390.78
2405603,Jardim de Piranhas - RN,37,Produto Interno Bruto a preços correntes,2021,213313.206,municipal_gdp,213313.206
2405702,Jardim do Seridó - RN,37,Produto Interno Bruto a preços correntes,2021,207991.093,municipal_gdp,207991.093
2405801,João Câmara - RN,37,Produto Interno Bruto a preços correntes,2021,1269832.854,municipal_gdp,1269832.854
2405900,João Dias - RN,37,Produto Interno Bruto a preços correntes,2021,27990.632,municipal_gdp,27990.632
2406007,José da Penha - RN,37,Produto Interno Bruto a preços correntes,2021,67413.352,municipal_gdp,67413.352
2406106,Jucurutu - RN,37,Produto Interno Bruto a preços correntes,2021,315838.141,municipal_gdp,315838.141
2406155,Jundiá - RN,37,Produto Interno Bruto a preços correntes,2021,42146.913,municipal_gdp,42146.913
2406205,Lagoa d'Anta - RN,37,Produto Interno Bruto a preços correntes,2021,70837.262,municipal_gdp,70837.262
2406304,Lagoa de Pedras - RN,37,Produto Interno Bruto a preços correntes,2021,81380.779,municipal_gdp,81380.779
2406403,Lagoa de Velhos - RN,37,Produto Interno Bruto a preços correntes,2021,38240.437,municipal_gdp,38240.437
2406502,Lagoa Nova - RN,37,Produto Interno Bruto a preços correntes,2021,269032.449,municipal_gdp,269032.449
2406601,Lagoa Salgada - RN,37,Produto Interno Bruto a preços correntes,2021,94310.674,municipal_gdp,94310.674
2406700,Lajes - RN,37,Produto Interno Bruto a preços correntes,2021,165927.595,municipal_gdp,165927.595
2406809,Lajes Pintadas - RN,37,Produto Interno Bruto a preços correntes,2021,51593.421,municipal_gdp,51593.421
2406908,Lucrécia - RN,37,Produto Interno Bruto a preços correntes,2021,51509.206,municipal_gdp,51509.206
2407005,Luís Gomes - RN,37,Produto Interno Bruto a preços correntes,2021,87825.117,municipal_gdp,87825.117
2407104,Macaíba - RN,37,Produto Interno Bruto a preços correntes,2021,1828142.061,municipal_gdp,1828142.061
2407203,Macau - RN,37,Produto Interno Bruto a preços correntes,2021,1111117.526,municipal_gdp,1111117.526
2407252,Major Sales - RN,37,Produto Interno Bruto a preços correntes,2021,48002.880,municipal_gdp,48002.88
