municipality_code,municipality_name,variable_code,variable_name,period,value_raw,source,value
1100403,Alto Paraíso - RO,707,Pessoal ocupado total,2024,1888,cempre_general,1888.0
1100403,Alto Paraíso - RO,708,Pessoal ocupado assalariado,2024,1429,cempre_general,1429.0
1100403,Alto Paraíso - RO,662,Salários e outras remunerações,2024,59472.425,cempre_general,59472.425
1100403,Alto Paraíso - RO,10143,Salário médio mensal em reais,2024,3139.51,cempre_general,3139.51
1100452,Buritis - RO,706,Número de unidades locais,2024,1082,cempre_general,1082.0
1100452,Buritis - RO,367,Número de empresas e outras organizações atuantes,2024,1052,cempre_general,1052.0
1100452,Buritis - RO,707,Pessoal ocupado total,2024,4833,cempre_general,4833.0
1100452,Buritis - RO,708,Pessoal ocupado assalariado,2024,3716,cempre_general,3716.0
1100452,Buritis - RO,662,Salários e outras remunerações,2024,138337.483,cempre_general,138337.483
1100452,Buritis - RO,10143,Salário médio mensal em reais,2024,2685.87,cempre_general,2685.87
1100502,Novo Horizonte do Oeste - RO,706,Número de unidades locais,2024,253,cempre_general,253.0
1100502,Novo Horizonte do Oeste - RO,367,Número de empresas e outras organizações atuantes,2024,246,cempre_general,246.0
1100502,Novo Horizonte do Oeste - RO,707,Pessoal ocupado total,2024,1111,cempre_general,1111.0
1100502,Novo Horizonte do Oeste - RO,708,Pessoal ocupado assalariado,2024,876,cempre_general,876.0
1100502,Novo Horizonte do Oeste - RO,662,Salários e outras remunerações,2024,31083.642,cempre_general,31083.642
1100502,Novo Horizonte do Oeste - RO,10143,Salário médio mensal em reais,2024,2681.21,cempre_general,2681.21
1100601,Cacaulândia - RO,706,Número de unidades locais,2024,138,cempre_general,138.0
1100601,Cacaulândia - RO,367,Número de empresas e outras organizações atuantes,2024,134,cempre_general,134.0
1100601,Cacaulândia - RO,707,Pessoal ocupado total,2024,550,cempre_general,550.0
1100601,Cacaulândia - RO,708,Pessoal ocupado assalariado,2024,444,cempre_general,444.0
