municipality_code,municipality_name,period,gdp_current_brl_thousand
1504950,Nova Esperança do Piriá - PA,2021,350592.895
1504976,Nova Ipixuna - PA,2021,192411.524
1505007,Nova Timboteua - PA,2021,147340.793
1505031,Novo Progresso - PA,2021,971104.839
1505064,Novo Repartimento - PA,2021,1116164.368
1505106,Óbidos - PA,2021,965318.822
1505205,Oeiras do Pará - PA,2021,418633.997
1505304,Oriximiná - PA,2021,2277389.743
1505403,Ourém - PA,2021,200486.516
1505437,Ourilândia do Norte - PA,2021,1301993.796
1505486,Pacajá - PA,2021,867035.786
1505494,Palestina do Pará - PA,2021,98673.251
1505502,Paragominas - PA,2021,4279105.081
1505536,Parauapebas - PA,2021,49756254.884
1505551,Pau D'Arco - PA,2021,114746.375
1505601,Peixe-Boi - PA,2021,72240.226
1505635,Piçarra - PA,2021,292566.036
1505650,Placas - PA,2021,322977.381
1505700,Ponta de Pedras - PA,2021,274902.796
1505809,Portel - PA,2021,944900.281
1505908,Porto de Moz - PA,2021,404115.12
1506005,Prainha - PA,2021,437646.749
1506104,Primavera - PA,2021,321570.1
1506112,Quatipuru - PA,2021,120745.938
1506138,Redenção - PA,2021,2551565.724
1506161,Rio Maria - PA,2021,601634.674
1506187,Rondon do Pará - PA,2021,733550.332
1506195,Rurópolis - PA,2021,496483.359
1506203,Salinópolis - PA,2021,641472.929
1506302,Salvaterra - PA,2021,210114.535
1506351,Santa Bárbara do Pará - PA,2021,240287.631
1506401,Santa Cruz do Arari - PA,2021,95936.492
1506500,Santa Izabel do Pará - PA,2021,934543.385
1506559,Santa Luzia do Pará - PA,2021,195899.236
1506583,Santa Maria das Barreiras - PA,2021,1071990.172
1506609,Santa Maria do Pará - PA,2021,371437.368
1506708,Santana do Araguaia - PA,2021,1381465.686
1506807,Santarém - PA,2021,6387633.873
1506906,Santarém Novo - PA,2021,59960.721
1507003,Santo Antônio do Tauá - PA,2021,475226.051
1507102,São Caetano de Odivelas - PA,2021,182987.053
1507151,São Domingos do Araguaia - PA,2021,358711.302
1507201,São Domingos do Capim - PA,2021,437999.797
1507300,São Félix do Xingu - PA,2021,2008369.434
1507409,São Francisco do Pará - PA,2021,264186.187
1507458,São Geraldo do Araguaia - PA,2021,710322.051
1507466,São João da Ponta - PA,2021,57325.545
1507474,São João de Pirabas - PA,2021,181939.076
1507508,São João do Araguaia - PA,2021,186694.929
1507607,São Miguel do Guamá - PA,2021,792510.061
1507706,São Sebastião da Boa Vista - PA,2021,244687.865
1507755,Sapucaia - PA,2021,141044.938
1507805,Senador José Porfírio - PA,2021,246021.658
1507904,Soure - PA,2021,241544.508
1507953,Tailândia - PA,2021,1291016.866
1507961,Terra Alta - PA,2021,82918.903
1507979,Terra Santa - PA,2021,519258.388
1508001,Tomé-Açu - PA,2021,1039720.854
1508035,Tracuateua - PA,2021,285003.521
1508050,Trairão - PA,2021,327329.972
1508084,Tucumã - PA,2021,984036.367
1508100,Tucuruí - PA,2021,5612935.24
1508126,Ulianópolis - PA,2021,1995463.414
1508159,Uruará - PA,2021,774004.087
1508209,Vigia - PA,2021,476446.733
1508308,Viseu - PA,2021,617943.533
1508357,Vitória do Xingu - PA,2021,4230224.672
1508407,Xinguara - PA,2021,1604337.475
1600055,Serra do Navio - AP,2021,92138.896
1600105,Amapá - AP,2021,159527.756
1600154,Pedra Branca do Amapari - AP,2021,453332.697
1600204,Calçoene - AP,2021,186851.738
1600212,Cutias - AP,2021,94992.099
1600238,Ferreira Gomes - AP,2021,578736.652
1600253,Itaubal - AP,2021,87878.458
1600279,Laranjal do Jari - AP,2021,1134544.13
1600303,Macapá - AP,2021,12938091.016
1600402,Mazagão - AP,2021,374987.092
1600501,Oiapoque - AP,2021,529042.62
1600535,Porto Grande - AP,2021,374265.423
1600550,Pracuúba - AP,2021,84579.251
1600600,Santana - AP,2021,2512916.433
1600709,Tartarugalzinho - AP,2021,261069.678
